CaseMasterID,PersonID,profile
1,3234,repeat
2,1242,repeat
3,7435,oneoff
4,879,oneoff
5,5518,oneoff
6,5313,oneoff
7,11557,oneoff
8,5869,oneoff
9,9346,ring
9,2447,ring
9,4951,ring
9,638,ring
10,6413,oneoff
11,476,oneoff
12,4530,oneoff
13,5710,oneoff
14,11914,oneoff
15,11638,oneoff
16,11380,oneoff
17,8517,oneoff
18,1724,oneoff
19,787,oneoff
20,10843,oneoff
21,7107,oneoff
22,2488,oneoff
23,5436,oneoff
24,5170,oneoff
25,6571,oneoff
26,1208,oneoff
27,4662,oneoff
28,3466,oneoff
29,6546,oneoff
30,11365,oneoff
31,8871,oneoff
32,4318,repeat
33,9494,oneoff
34,2615,oneoff
35,8031,oneoff
36,2094,oneoff
37,4777,repeat
38,2810,oneoff
39,9384,oneoff
40,10240,oneoff
41,192,oneoff
42,2797,oneoff
43,3076,oneoff
44,4766,oneoff
45,1943,oneoff
46,7914,oneoff
47,1293,oneoff
48,6151,ring
48,7471,ring
48,9350,ring
48,377,ring
49,1562,oneoff
50,11669,oneoff
51,3643,oneoff
52,3981,oneoff
53,9047,oneoff
54,11349,oneoff
55,5521,oneoff
56,10888,oneoff
57,9000,oneoff
58,10814,oneoff
59,10502,oneoff
60,8631,oneoff
61,10482,oneoff
62,11285,oneoff
63,7688,oneoff
64,2671,oneoff
65,7202,oneoff
66,1677,repeat
67,4563,repeat
68,9784,oneoff
69,6382,oneoff
70,5615,oneoff
71,7261,oneoff
72,9905,oneoff
73,11011,oneoff
74,793,oneoff
75,8419,oneoff
76,77,repeat
77,3226,oneoff
78,10392,oneoff
79,1622,oneoff
80,4034,oneoff
81,7730,oneoff
82,2766,repeat
83,3145,oneoff
84,1041,oneoff
85,11069,oneoff
86,3934,oneoff
87,8178,oneoff
88,4366,repeat
89,3113,repeat
90,9927,oneoff
91,7028,oneoff
92,5808,oneoff
93,163,oneoff
94,4399,oneoff
95,8143,repeat
96,10420,oneoff
97,1015,oneoff
