AccusedMasterID,CaseMasterID,TruePersonID,TrueRingID
1,1,3234,
2,2,1242,
3,3,7435,
4,4,879,
5,5,5518,
6,6,5313,
7,7,11557,
8,8,5869,
9,9,9346,2.0
10,9,2447,2.0
11,9,4951,2.0
12,9,638,2.0
13,10,6413,
14,11,476,
15,12,4530,
16,13,5710,
17,14,11914,
18,15,11638,
19,16,11380,
20,17,8517,
21,18,1724,
22,19,787,
23,20,10843,
24,21,7107,
25,22,2488,
26,23,5436,
27,24,5170,
28,25,6571,
29,26,1208,
30,27,4662,
31,28,3466,
32,29,6546,
33,30,11365,
34,31,8871,
35,32,4318,
36,33,9494,
37,34,2615,
38,35,8031,
39,36,2094,
40,37,4777,
41,38,2810,
42,39,9384,
43,40,10240,
44,41,192,
45,42,2797,
46,43,3076,
47,44,4766,
48,45,1943,
49,46,7914,
50,47,1293,
51,48,6151,1.0
52,48,7471,1.0
53,48,9350,1.0
54,48,377,1.0
55,49,1562,
56,50,11669,
57,51,3643,
58,52,3981,
59,53,9047,
60,54,11349,
61,55,5521,
62,56,10888,
63,57,9000,
64,58,10814,
65,59,10502,
66,60,8631,
67,61,10482,
68,62,11285,
69,63,7688,
70,64,2671,
71,65,7202,
72,66,1677,
73,67,4563,
74,68,9784,
75,69,6382,
76,70,5615,
77,71,7261,
78,72,9905,
79,73,11011,
80,74,793,
81,75,8419,
82,76,77,
83,77,3226,
84,78,10392,
85,79,1622,
86,80,4034,
87,81,7730,
88,82,2766,
89,83,3145,
90,84,1041,
91,85,11069,
92,86,3934,
93,87,8178,
94,88,4366,
95,89,3113,
96,90,9927,
97,91,7028,
98,92,5808,
99,93,163,
100,94,4399,
101,95,8143,
102,96,10420,
103,97,1015,
104,98,11809,
105,99,10190,
106,100,7805,
107,101,9692,
108,102,1036,
109,103,8051,
110,104,6590,
111,105,8075,
112,106,7018,
113,107,8099,
114,108,8567,
115,109,8730,
116,110,897,
117,111,9488,
118,112,1952,
119,113,2718,
120,114,5001,
121,115,4973,
122,116,6480,
123,117,8772,
124,118,8889,
125,119,1101,
126,120,7373,
127,121,5400,
128,122,8116,
129,123,2110,
130,124,4629,
131,125,65,
132,126,8195,
133,127,2626,
134,128,5592,
135,129,2074,
136,130,2756,
137,131,10728,
138,132,9922,
139,133,5382,
140,134,4897,
141,135,5751,
142,136,6889,
143,137,400,
144,138,6031,
145,139,3648,
146,140,8905,4.0
147,140,3652,4.0
148,140,8704,4.0
149,140,11063,4.0
150,141,10726,
151,142,6330,
152,143,3172,
153,144,6426,
154,145,1222,
155,146,8589,
156,147,3177,
157,148,7380,
158,149,2509,
159,150,9208,
160,151,2794,
161,152,8870,
162,153,11233,
163,154,8345,
164,155,947,
165,156,10001,
166,157,5175,
167,158,11268,
168,159,8301,
169,160,11147,
170,161,3931,
171,162,1048,
172,163,7555,
173,164,512,
174,165,7858,
175,166,7065,
176,167,9274,
177,168,7096,
178,169,4593,
179,170,210,
180,171,5256,
181,172,6118,
182,173,7900,
183,174,7196,
184,175,1517,
185,176,8040,
186,177,882,
187,178,2854,
188,179,7578,
189,180,8962,
190,181,5238,
191,182,6161,
192,183,1799,
193,184,7749,
194,185,6524,
195,186,7047,
196,187,7256,
197,188,6008,
198,189,1717,
199,190,3320,
200,191,4743,
201,192,1080,
202,193,6820,
203,194,10154,
204,195,11781,
205,196,3232,
206,197,6054,
207,198,11081,
208,199,9847,
209,200,4223,
210,201,11187,
211,202,8167,
212,203,10028,
213,204,11525,
214,205,2754,
215,206,3715,
216,207,11941,
217,208,11918,
218,209,5579,
219,210,1702,
220,211,9958,
221,212,10479,
222,213,5725,
223,214,11769,
224,215,10466,
225,216,10685,
226,217,7562,
227,218,1332,
228,219,6929,
229,220,11132,
230,221,6001,
231,222,9699,
232,223,4195,
233,224,7701,
234,225,9111,
235,226,9641,
236,227,5707,
237,228,5661,
238,229,4517,
239,230,3837,
240,231,679,
241,232,2045,
242,233,5628,
243,234,8183,
244,235,1528,
245,236,3383,
246,237,3852,
247,238,5355,
248,239,1896,
249,240,6737,
250,241,1317,
251,242,3669,
252,243,7729,
253,244,7445,
254,245,1673,
255,246,3785,
256,247,11463,
257,248,11618,
258,249,715,
259,250,10604,
260,251,947,
261,252,4847,
262,253,872,
263,254,10659,
264,255,9641,
265,256,5412,
266,257,8355,
267,258,5992,
268,259,11815,
269,260,6680,
270,261,5373,
271,262,5294,
272,263,1747,
273,264,11237,
274,265,5926,
275,266,10165,
276,267,5667,
277,268,5046,
278,269,3595,
279,270,206,
280,271,11722,
281,272,7471,1.0
282,272,377,1.0
283,273,4319,
284,274,9168,
285,275,4493,
286,276,2381,
287,277,8193,
288,278,3000,
289,279,7958,
290,280,201,
291,281,7287,
292,282,1975,
293,283,6435,
294,284,8215,
295,285,9008,
296,286,11739,
297,287,9562,
298,288,4384,
299,289,2568,
300,290,10228,
301,291,675,
302,292,2876,
303,293,7260,
304,294,1196,
305,295,6698,
306,296,9790,
307,297,2032,
308,298,2447,2.0
309,298,8991,2.0
310,299,8534,
311,300,11686,
312,301,2979,
313,302,4897,
314,303,1775,
315,304,1886,
316,305,3592,
317,306,8885,
318,307,3047,
319,308,2005,
320,309,5894,
321,310,6846,
322,311,2439,
323,312,11988,
324,313,4846,
325,314,1844,
326,315,330,
327,316,10032,
328,317,8346,
329,318,8311,
330,319,6768,
331,320,7083,
332,321,5237,
333,322,5666,
334,323,5474,
335,324,4155,
336,325,266,
337,326,432,
338,327,9346,2.0
339,327,8991,2.0
340,328,11757,
341,329,7888,
342,330,10748,
343,331,9023,
344,332,9426,
345,333,2097,
346,334,5552,
347,335,4655,
348,336,3181,
349,337,7321,
350,338,10497,
351,339,7570,
352,340,3247,
353,341,10114,
354,342,2309,
355,343,1177,
356,344,4604,
357,345,6443,
358,346,6344,
359,347,1573,
360,348,11658,
361,349,10128,
362,350,1686,
363,351,5671,
364,352,9871,
365,353,4047,
366,354,4299,
367,355,8644,
368,356,11650,
369,357,2614,
370,358,11818,
371,359,100,
372,360,2252,
373,361,3032,
374,362,5089,
375,363,4537,
376,364,2936,
377,365,976,
378,366,11113,
379,367,8548,
380,368,5833,
381,369,7102,
382,370,4598,
383,371,432,
384,372,9717,
385,373,5026,
386,374,4079,
387,375,9956,
388,376,638,2.0
389,376,8991,2.0
390,376,9346,2.0
391,377,6157,
392,378,1244,
393,379,4601,
394,380,4845,
395,381,6058,
396,382,11569,
397,383,11193,
398,384,11977,
399,385,9362,
400,386,8240,
401,387,3528,
402,388,1066,
403,389,7048,
404,390,5332,
405,391,1732,
406,392,3517,
407,393,10748,
408,394,8961,
409,395,6320,
410,396,10939,
411,397,6034,
412,398,3435,
413,399,229,
414,400,5007,
415,401,7183,
416,402,9367,
417,403,5733,
418,404,11532,
419,405,8185,
420,406,9219,
421,407,7861,
422,408,4749,
423,409,11586,
424,410,7856,
425,411,310,
426,412,8400,
427,413,7507,
428,414,9660,
429,415,2257,
430,416,10979,
431,417,2212,
432,418,1090,
433,419,3526,
434,420,11020,
435,421,169,
436,422,7611,
437,423,1081,
438,424,11764,
439,425,3501,
440,426,307,
441,427,618,
442,428,11714,
443,429,716,
444,430,5208,
445,431,9553,
446,432,193,
447,433,10750,
448,434,1000,
449,435,3046,
450,436,6245,
451,437,11978,
452,438,3407,
453,439,3475,
454,440,8514,
455,441,10506,
456,442,1858,
457,443,5991,
458,444,6862,
459,445,580,
460,446,5571,
461,447,1939,
462,448,2796,
463,449,3954,
464,450,7628,
465,451,4106,
466,452,11362,
467,453,1725,
468,454,3080,
469,455,7988,
470,456,11849,
471,457,156,
472,458,10992,
473,459,1437,
474,460,802,
475,461,8287,
476,462,3007,
477,463,7735,
478,464,7511,
479,465,7371,
480,466,5729,
481,467,5936,
482,468,2871,
483,469,10512,
484,470,548,
485,471,6127,
486,472,1884,
487,473,7611,
488,474,10908,
489,475,5967,
490,476,8922,
491,477,2846,
492,478,7129,
493,479,5758,
494,480,3021,
495,481,8181,
496,482,4890,
497,483,2422,
498,484,6807,
499,485,8364,
500,486,4600,
501,487,6342,
502,488,11158,
503,489,9379,
504,490,4754,
505,491,6143,
506,492,4438,
507,493,6766,
508,494,9581,
509,495,6059,
510,496,11234,
511,497,10421,
512,498,871,
513,499,9749,
514,500,4244,
515,501,3858,
516,502,585,
517,503,1171,
518,504,6441,
519,505,6608,
520,506,7683,
521,507,10147,
522,508,4887,
523,509,3945,
524,510,2547,
525,511,11117,
526,512,3197,
527,513,5824,
528,514,3123,
529,515,5,
530,516,7289,
531,517,5345,
532,518,5440,
533,519,4983,
534,520,895,
535,521,9401,
536,522,7188,
537,523,4240,
538,524,5506,
539,525,7124,
540,526,7240,
541,527,8176,
542,528,6952,
543,529,3007,
544,530,4570,
545,531,648,
546,532,2196,
547,533,11670,
548,534,11713,
549,535,4862,
550,536,11268,
551,537,8505,
552,538,848,
553,539,5299,
554,540,11746,
555,541,9142,
556,542,8502,
557,543,6089,
558,544,2904,
559,545,8714,
560,546,1173,
561,547,11605,
562,548,1976,
563,549,9422,
564,550,1703,
565,551,1103,
566,552,523,
567,553,11310,
568,554,6009,
569,555,7986,
570,556,5361,
571,557,570,
572,558,3760,
573,559,7574,
574,560,3424,
575,561,4164,
576,562,9897,
577,563,591,
578,564,7165,
579,565,10743,
580,566,8321,
581,567,3221,
582,568,4350,
583,569,5356,
584,570,1718,
585,571,3590,
586,572,7418,
587,573,2807,
588,574,11700,
589,575,5310,
590,576,2190,
591,577,11421,
592,578,10713,
593,579,6769,
594,580,3011,
595,581,2535,
596,582,6635,
597,583,10067,
598,584,7592,
599,585,10189,
600,586,4556,
601,587,10511,
602,588,6020,
603,589,6817,
604,590,2916,
605,591,7560,
606,592,7060,
607,593,2545,
608,594,5075,
609,595,10063,
610,596,6397,3.0
611,596,11440,3.0
612,596,8506,3.0
613,597,1677,
614,598,8633,
615,599,11277,
616,600,4937,
617,601,9425,
618,602,9768,
619,603,4718,
620,604,5507,
621,605,2905,
622,606,8728,
623,607,6017,
624,608,9300,
625,609,6451,
626,610,869,
627,611,5332,
628,612,1726,
629,613,9748,
630,614,10368,
631,615,8567,
632,616,6988,
633,617,2482,
634,618,9999,
635,619,4092,
636,620,5171,
637,621,2801,
638,622,5867,
639,623,5515,
640,624,8191,
641,625,1472,
642,626,5668,
643,627,4004,
644,628,6342,
645,629,1087,
646,630,7902,
647,631,4484,
648,632,10897,
649,633,4203,
650,634,5860,
651,635,169,
652,636,3454,
653,637,11001,
654,638,9155,
655,639,2130,
656,640,7088,
657,641,11578,
658,642,11357,
659,643,7083,
660,644,9177,
661,645,5412,
662,646,6901,
663,647,10057,
664,648,426,
665,649,8500,
666,650,9016,
667,651,4066,
668,652,3346,
669,653,8506,3.0
670,653,11440,3.0
671,653,7340,3.0
672,654,843,
673,655,7844,
674,656,5880,
675,657,9945,
676,658,421,
677,659,7718,
678,660,7763,
679,661,746,
680,662,6008,
681,663,7327,
682,664,11269,
683,665,9076,
684,666,6129,
685,667,2560,
686,668,3038,
687,669,2850,
688,670,1144,
689,671,4173,
690,672,1607,
691,673,6488,
692,674,5193,
693,675,1542,
694,676,5225,
695,677,947,
696,678,2192,
697,679,10119,
698,680,6960,
699,681,7525,
700,682,4780,
701,683,3521,
702,684,3855,
703,685,3007,
704,686,5777,
705,687,10776,
706,688,2983,
707,689,5084,
708,690,9205,
709,691,6056,
710,692,8995,
711,693,11436,
712,694,598,
713,695,1393,
714,696,4597,
715,697,7488,
716,698,5159,
717,699,11786,
718,700,7351,
719,701,404,
720,702,11715,
721,703,8272,
722,704,4269,
723,705,4463,
724,706,2558,
725,707,10253,
726,708,734,
727,709,4318,
728,710,2845,
729,711,5061,
730,712,11939,
731,713,9749,
732,714,8531,
733,715,4195,
734,716,5096,
735,717,638,2.0
736,717,8991,2.0
737,717,7762,2.0
738,718,7431,
739,719,4596,
740,720,7357,
741,721,5721,
742,722,7827,
743,723,3724,
744,724,1190,
745,725,7686,
746,726,4366,
747,727,11072,
748,728,1083,
749,729,2206,
750,730,8042,
751,731,5283,
752,732,5430,
753,733,6693,
754,734,4839,
755,735,9571,
756,736,7497,
757,737,5459,
758,738,9134,
759,739,7888,
760,740,4432,
761,741,8199,
762,742,6954,
763,743,4960,
764,744,6884,
765,745,7406,
766,746,973,
767,747,2596,
768,748,7217,
769,749,1577,
770,750,1778,
771,751,5418,
772,752,1215,
773,753,6461,
774,754,11860,
775,755,2742,
776,756,9632,
777,757,1575,
778,758,6316,
779,759,5673,
780,760,11113,
781,761,10838,
782,762,9809,
783,763,707,
784,764,10292,
785,765,11410,
786,766,8896,
787,767,10112,
788,768,8908,
789,769,7667,
790,770,4414,
791,771,1351,
792,772,9570,
793,773,10261,
794,774,3215,
795,775,7590,
796,776,3568,
797,777,1852,
798,778,6740,
799,779,2992,
800,780,5426,
801,781,10660,
802,782,1573,
803,783,4285,
804,784,9115,
805,785,11855,
806,786,4370,
807,787,4858,
808,788,4963,
809,789,11509,
810,790,3798,
811,791,9493,
812,792,6771,
813,793,8850,
814,794,9299,
815,795,9805,
816,796,10395,
817,797,8848,
818,798,3144,
819,799,5628,
820,800,6682,
821,801,10435,
822,802,514,
823,803,1239,
824,804,7953,
825,805,8905,4.0
826,805,11063,4.0
827,805,4286,4.0
828,805,3652,4.0
829,806,1565,
830,807,1222,
831,808,7751,
832,809,841,
833,810,948,
834,811,5147,
835,812,135,
836,813,2153,
837,814,310,
838,815,11825,
839,816,10728,
840,817,6464,
841,818,1895,
842,819,6228,
843,820,5025,
844,821,3401,
845,822,2766,
846,823,4273,
847,824,11272,
848,825,5473,
849,826,9776,
850,827,9667,
851,828,6336,
852,829,1282,
853,830,7162,
854,831,3457,
855,832,5778,
856,833,11340,
857,834,3672,
858,835,8284,
859,836,9817,
860,837,8243,
861,838,3410,
862,839,2764,
863,840,8866,
864,841,11729,
865,842,7276,
866,843,1381,
867,844,11243,
868,845,11859,
869,846,5182,
870,847,8750,
871,848,3285,
872,849,9205,
873,850,7750,
874,851,683,
875,852,4573,
876,853,9559,
877,854,6973,
878,855,3808,
879,856,2808,
880,857,7656,
881,858,550,
882,859,11239,
883,860,5080,
884,861,4948,
885,862,3864,
886,863,6184,
887,864,7264,
888,865,7478,
889,866,5445,
890,867,6276,
891,868,3234,
892,869,8074,
893,870,10963,
894,871,2842,
895,872,943,
896,873,1618,
897,874,7893,
898,875,3404,
899,876,5847,
900,877,7187,
901,878,259,
902,879,4916,
903,880,7584,
904,881,1881,
905,882,9287,
906,883,10381,
907,884,10,
908,885,736,
909,886,7161,
910,887,2938,
911,888,9200,
912,889,7953,
913,890,7579,
914,891,7589,
915,892,5246,
916,893,1035,
917,894,1595,
918,895,10258,
919,896,2244,
920,897,8612,
921,898,7622,
922,899,4256,
923,900,4016,
924,901,7128,
925,902,11360,
926,903,4894,
927,904,330,
928,905,11473,
929,906,1670,
930,907,10596,
931,908,11392,
932,909,11348,
933,910,393,
934,911,413,
935,912,8366,
936,913,2047,
937,914,11216,
938,915,10100,
939,916,6130,
940,917,1492,
941,918,7355,
942,919,7303,
943,920,11387,
944,921,11182,
945,922,4921,
946,923,4276,
947,924,7410,
948,925,6752,
949,926,6138,
950,927,2562,
951,928,2096,
952,929,11590,
953,930,733,
954,931,8125,
955,932,5697,
956,933,4651,
957,934,5092,
958,935,10257,
959,936,10523,
960,937,3500,
961,938,7404,
962,939,10005,
963,940,6550,
964,941,253,
965,942,9074,
966,943,10190,
967,944,10609,
968,945,788,
969,946,4467,
970,947,10423,
971,948,1098,
972,949,8625,
973,950,8781,
974,951,8084,
975,952,9380,
976,953,4972,
977,954,10282,
978,955,6696,
979,956,4829,
980,957,2879,
981,958,3455,
982,959,1278,
983,960,9944,
984,961,7155,
985,962,4783,
986,963,10566,
987,964,4637,
988,965,10594,
989,966,7036,
990,967,11983,
991,968,9746,
992,969,6388,
993,970,8206,
994,971,7099,
995,972,9779,
996,973,7163,
997,974,10936,
998,975,10457,
999,976,1358,
1000,977,4362,
1001,978,7824,
1002,979,2980,
1003,980,11171,
1004,981,5236,
1005,982,4744,
1006,983,4968,
1007,984,3254,
1008,985,7909,
1009,986,10572,
1010,987,2856,
1011,988,10563,
1012,989,2231,
1013,990,5006,
1014,991,7204,
1015,992,139,
1016,993,6476,
1017,994,9873,
1018,995,77,
1019,996,3554,
1020,997,5578,
1021,998,2898,
1022,999,9840,
1023,1000,3667,
1024,1001,6112,
1025,1002,4262,
1026,1003,11048,
1027,1004,8127,
1028,1005,5701,
1029,1006,4402,
1030,1007,6417,
1031,1008,6008,
1032,1009,3909,
1033,1010,1950,
1034,1011,6402,
1035,1012,778,
1036,1013,8012,
1037,1014,7518,
1038,1015,6385,
1039,1016,6008,
1040,1017,876,
1041,1018,6233,
1042,1019,6173,
1043,1020,7865,
1044,1021,10466,
1045,1022,9304,
1046,1023,10151,
1047,1024,8671,
1048,1025,1931,
1049,1026,3345,
1050,1027,682,
1051,1028,4288,
1052,1029,687,
1053,1030,10407,
1054,1031,6930,
1055,1032,7745,
1056,1033,8142,
1057,1034,7584,
1058,1035,11246,
1059,1036,736,
1060,1037,5718,
1061,1038,11567,
1062,1039,3991,
1063,1040,6829,
1064,1041,7139,
1065,1042,6526,
1066,1043,534,
1067,1044,2448,
1068,1045,2651,
1069,1046,10405,
1070,1047,10185,
1071,1048,9287,
1072,1049,7405,
1073,1050,7095,
1074,1051,10745,
1075,1052,3285,
1076,1053,11300,
1077,1054,9986,
1078,1055,5364,
1079,1056,10709,
1080,1057,10735,
1081,1058,6644,
1082,1059,2945,
1083,1060,4241,
1084,1061,3732,
1085,1062,4536,
1086,1063,10496,
1087,1064,1302,
1088,1065,5946,
1089,1066,308,
1090,1067,651,
1091,1068,56,
1092,1069,8923,
1093,1070,8341,
1094,1071,2174,
1095,1072,372,
1096,1073,10032,
1097,1074,6963,
1098,1075,4728,
1099,1076,11859,
1100,1077,5248,
1101,1078,519,
1102,1079,5244,
1103,1080,1684,
1104,1081,937,
1105,1082,2862,
1106,1083,6658,
1107,1084,10453,
1108,1085,6007,
1109,1086,11315,
1110,1087,8363,
1111,1088,7618,
1112,1089,3426,
1113,1090,7850,
1114,1091,11176,
1115,1092,7037,
1116,1093,947,
1117,1094,5220,
1118,1095,11139,
1119,1096,3159,
1120,1097,8343,
1121,1098,5885,
1122,1099,10517,
1123,1100,11333,
1124,1101,11384,
1125,1102,2022,
1126,1103,3149,
1127,1104,1322,
1128,1105,6376,
1129,1106,7817,
1130,1107,127,
1131,1108,4739,
1132,1109,6436,
1133,1110,3684,
1134,1111,6312,
1135,1112,10035,
1136,1113,7736,
1137,1114,8451,
1138,1115,236,
1139,1116,10600,
1140,1117,9584,
1141,1118,10602,
1142,1119,6521,
1143,1120,4306,
1144,1121,9920,
1145,1122,8129,
1146,1123,7046,
1147,1124,6891,
1148,1125,2528,
1149,1126,2802,
1150,1127,5529,
1151,1128,1803,
1152,1129,4318,
1153,1130,10413,
1154,1131,10813,
1155,1132,11556,
1156,1133,3903,
1157,1134,9729,
1158,1135,11223,
1159,1136,10774,
1160,1137,7953,
1161,1138,1773,
1162,1139,1642,
1163,1140,5755,
1164,1141,6920,
1165,1142,8116,
1166,1143,11018,
1167,1144,7144,
1168,1145,7674,
1169,1146,3603,
1170,1147,10850,
1171,1148,3824,
1172,1149,9575,
1173,1150,8632,
1174,1151,2648,
1175,1152,1084,
1176,1153,9380,
1177,1154,4426,
1178,1155,9324,
1179,1156,5467,
1180,1157,519,
1181,1158,6,
1182,1159,2300,
1183,1160,7662,
1184,1161,8863,
1185,1162,10846,
1186,1163,8386,
1187,1164,6107,
1188,1165,9046,
1189,1166,119,
1190,1167,2608,
1191,1168,5692,
1192,1169,4391,
1193,1170,864,
1194,1171,11307,
1195,1172,6620,
1196,1173,9555,
1197,1174,10244,
1198,1175,9125,
1199,1176,228,
1200,1177,4308,
1201,1178,9193,
1202,1179,6431,
1203,1180,11213,
1204,1181,6380,
1205,1182,8118,
1206,1183,10004,
1207,1184,11206,
1208,1185,1870,
1209,1186,1962,
1210,1187,4335,
1211,1188,7146,
1212,1189,2073,
1213,1190,3833,
1214,1191,3401,
1215,1192,9306,
1216,1193,10480,
1217,1194,11251,
1218,1195,264,
1219,1196,6180,
1220,1197,10105,
1221,1198,2272,
1222,1199,8953,
1223,1200,11942,
1224,1201,2108,
1225,1202,5411,
1226,1203,7088,
1227,1204,1656,
1228,1205,8712,
1229,1206,1369,
1230,1207,10417,
1231,1208,10827,
1232,1209,5075,
1233,1210,11149,
1234,1211,2890,
1235,1212,2041,
1236,1213,11819,
1237,1214,3572,
1238,1215,9532,
1239,1216,8173,
1240,1217,1641,
1241,1218,239,
1242,1219,11122,
1243,1220,1953,
1244,1221,8768,
1245,1222,3616,
1246,1223,5380,
1247,1224,1733,3.0
1248,1224,8506,3.0
1249,1224,10943,3.0
1250,1225,2694,
1251,1226,8353,
1252,1227,11870,
1253,1228,2617,
1254,1229,5544,
1255,1230,3472,
1256,1231,6091,
1257,1232,5597,
1258,1233,9986,
1259,1234,8066,
1260,1235,8196,
1261,1236,9276,
1262,1237,9669,
1263,1238,6564,
1264,1239,11172,
1265,1240,4223,
1266,1241,9731,
1267,1242,4932,
1268,1243,4195,
1269,1244,2966,
1270,1245,7721,
1271,1246,79,
1272,1247,7752,
1273,1248,4328,
1274,1249,612,
1275,1250,1086,
1276,1251,2185,
1277,1252,10902,
1278,1253,10794,
1279,1254,10299,
1280,1255,8066,
1281,1256,9735,
1282,1257,7101,
1283,1258,7985,
1284,1259,6717,
1285,1260,6125,
1286,1261,5264,
1287,1262,4779,
