CaseMasterID,ActID,SectionID
1,IPC,354D
1,IPC,67
2,IPC,379
2,IPC,380
3,IPC,379
3,IPC,380
4,IPC,379
4,IPC,380
5,IPC,356
5,IPC,379
6,IPC,354D
6,IPC,67
7,IPC,356
7,IPC,379
8,IPC,323
9,IPC,143
10,IPC,498A
11,IPC,454
11,IPC,457
12,IPC,323
13,IPC,354
14,IPC,27
15,IPC,27
16,IPC,454
16,IPC,457
17,IPC,454
17,IPC,457
18,IPC,268
19,IPC,307
20,IPC,379
21,IPC,325
21,IPC,326
22,IPC,498A
22,IPC,304B
23,IPC,323
24,IPC,363
24,IPC,365
25,IPC,420
26,IPC,379
26,IPC,380
27,IPC,379
27,IPC,380
28,IPC,454
28,IPC,457
29,IPC,354D
29,IPC,67
30,IPC,420
30,IPC,66D
31,IPC,379
32,IPC,392
33,IPC,420
34,IPC,21
34,IPC,29
35,IPC,420
35,IPC,66D
36,IPC,323
37,IPC,420
37,IPC,66D
38,IPC,498A
39,IPC,356
39,IPC,379
40,IPC,420
40,IPC,66D
41,IPC,379
41,IPC,380
42,IPC,323
43,IPC,268
44,IPC,323
45,IPC,379
45,IPC,380
46,IPC,147
46,IPC,148
47,IPC,420
47,IPC,66D
48,IPC,420
49,IPC,379
49,IPC,380
50,IPC,268
51,IPC,498A
52,IPC,356
52,IPC,379
53,IPC,354
54,IPC,454
54,IPC,457
55,IPC,356
55,IPC,379
56,IPC,379
57,IPC,420
58,IPC,27
59,IPC,454
59,IPC,457
60,IPC,379
60,IPC,380
61,IPC,325
61,IPC,326
62,IPC,307
63,IPC,379
63,IPC,380
64,IPC,379
64,IPC,380
65,IPC,323
66,IPC,323
67,IPC,27
68,IPC,420
68,IPC,66D
69,IPC,143
70,IPC,379
70,IPC,380
71,IPC,454
71,IPC,457
72,IPC,325
72,IPC,326
73,IPC,454
73,IPC,457
74,IPC,420
75,IPC,143
76,IPC,302
77,IPC,354D
77,IPC,67
78,IPC,379
78,IPC,380
79,IPC,379
79,IPC,380
80,IPC,323
81,IPC,454
81,IPC,457
82,IPC,454
82,IPC,457
83,IPC,454
83,IPC,457
84,IPC,307
85,IPC,379
85,IPC,380
86,IPC,379
86,IPC,380
87,IPC,454
87,IPC,457
88,IPC,323
89,IPC,379
89,IPC,380
90,IPC,323
91,IPC,323
92,IPC,379
93,IPC,143
94,IPC,323
95,IPC,325
95,IPC,326
96,IPC,354
97,IPC,268
98,IPC,307
99,IPC,379
99,IPC,380
100,IPC,325
100,IPC,326
101,IPC,392
102,IPC,498A
103,IPC,379
103,IPC,380
104,IPC,379
104,IPC,380
105,IPC,354D
105,IPC,67
106,IPC,323
107,IPC,420
108,IPC,379
108,IPC,380
109,IPC,379
110,IPC,454
110,IPC,457
111,IPC,420
112,IPC,379
113,IPC,420
113,IPC,66D
114,IPC,379
114,IPC,380
115,IPC,454
115,IPC,457
116,IPC,454
116,IPC,457
117,IPC,325
117,IPC,326
118,IPC,356
118,IPC,379
119,IPC,498A
119,IPC,304B
120,IPC,420
120,IPC,66D
121,IPC,363
121,IPC,365
122,IPC,379
122,IPC,380
123,IPC,268
124,IPC,420
124,IPC,66D
125,IPC,307
126,IPC,379
127,IPC,420
128,IPC,420
129,IPC,143
130,IPC,454
130,IPC,457
131,IPC,354
132,IPC,420
133,IPC,379
134,IPC,323
135,IPC,379
135,IPC,380
136,IPC,268
137,IPC,356
137,IPC,379
138,IPC,379
139,IPC,354
140,IPC,420
141,IPC,379
142,IPC,354
143,IPC,143
144,IPC,323
145,IPC,420
146,IPC,307
147,IPC,498A
148,IPC,27
149,IPC,379
149,IPC,380
150,IPC,395
151,IPC,147
151,IPC,148
152,IPC,420
153,IPC,363
153,IPC,365
154,IPC,323
155,IPC,379
155,IPC,380
156,IPC,143
157,IPC,354D
157,IPC,67
158,IPC,498A
159,IPC,420
159,IPC,66D
160,IPC,420
160,IPC,66D
161,IPC,379
162,IPC,143
163,IPC,420
164,IPC,325
164,IPC,326
165,IPC,354
166,IPC,379
167,IPC,379
167,IPC,380
168,IPC,454
168,IPC,457
169,IPC,379
169,IPC,380
170,IPC,143
171,IPC,307
172,IPC,454
172,IPC,457
173,IPC,454
173,IPC,457
174,IPC,392
175,IPC,420
175,IPC,66D
176,IPC,379
177,IPC,354
178,IPC,307
179,IPC,268
180,IPC,379
180,IPC,380
181,IPC,420
181,IPC,66D
182,IPC,325
182,IPC,326
183,IPC,379
184,IPC,323
185,IPC,454
185,IPC,457
186,IPC,27
187,IPC,268
188,IPC,302
189,IPC,27
190,IPC,454
190,IPC,457
191,IPC,392
192,IPC,392
193,IPC,268
194,IPC,27
195,IPC,27
196,IPC,27
197,IPC,420
198,IPC,323
199,IPC,379
199,IPC,380
200,IPC,420
200,IPC,66D
201,IPC,354
202,IPC,420
203,IPC,420
204,IPC,323
205,IPC,354D
205,IPC,67
206,IPC,420
207,IPC,498A
208,IPC,392
209,IPC,379
210,IPC,147
210,IPC,148
211,IPC,268
212,IPC,420
213,IPC,498A
214,IPC,420
215,IPC,143
216,IPC,323
217,IPC,27
218,IPC,498A
219,IPC,379
219,IPC,380
220,IPC,392
221,IPC,420
222,IPC,379
222,IPC,380
223,IPC,325
223,IPC,326
224,IPC,143
225,IPC,379
225,IPC,380
226,IPC,363
226,IPC,365
227,IPC,325
