ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestSurrenderTypeID,ArrestSurrenderDistrictId,IOID
1,1,1,1,23,17
2,2,2,2,20,18
3,4,4,2,13,21
4,9,12,2,5,37
5,10,13,1,3,15
6,11,14,2,27,37
7,13,16,1,3,36
8,15,18,1,31,7
9,16,19,2,18,2
10,17,20,2,20,46
11,18,21,2,12,49
12,19,22,2,31,7
13,20,23,2,15,9
14,22,25,1,15,12
15,23,26,2,15,43
16,25,28,2,15,39
17,27,30,1,24,48
18,29,32,2,17,26
19,30,33,1,7,10
20,32,35,2,21,20
21,33,36,2,28,24
22,36,39,2,3,48
23,38,41,2,15,26
24,39,42,1,4,16
25,40,43,2,31,37
26,41,44,2,24,11
27,42,45,2,18,31
28,44,47,2,10,17
29,47,50,1,23,20
30,48,52,2,18,24
31,55,61,1,8,11
32,56,62,2,28,15
33,57,63,2,25,2
34,58,64,2,15,5
35,62,68,1,12,2
36,63,69,1,22,4
37,64,70,2,24,28
38,65,71,1,31,31
39,66,72,2,12,3
40,67,73,1,31,5
41,70,76,1,9,29
42,73,79,1,16,10
43,76,82,1,18,4
44,77,83,2,7,1
45,79,85,1,12,2
46,81,87,1,11,15
47,82,88,1,11,33
48,83,89,1,27,31
49,85,91,1,5,16
50,86,92,1,31,31
51,88,94,2,11,36
52,91,97,1,7,5
53,92,98,2,17,39
54,96,102,2,24,19
55,98,104,1,28,7
56,100,106,1,22,2
57,102,108,2,30,1
58,107,113,2,16,27
59,109,115,2,6,16
60,110,116,1,5,34
61,116,122,1,26,23
62,120,126,1,1,46
63,122,128,2,9,4
64,126,132,2,1,18
65,127,133,2,27,29
66,129,135,1,3,15
67,130,136,1,2,14
68,132,138,2,21,17
69,133,139,2,25,31
70,135,141,2,8,10
71,136,142,1,25,3
72,137,143,2,16,5
73,139,145,2,3,24
74,140,147,2,16,49
75,140,148,2,6,22
76,143,152,2,5,34
77,144,153,2,16,26
78,145,154,1,26,40
79,146,155,2,2,9
80,149,158,2,24,40
81,151,160,1,24,4
82,152,161,1,23,25
83,154,163,2,15,48
84,157,166,1,15,21
85,158,167,1,3,4
86,160,169,2,5,7
87,162,171,1,13,3
88,164,173,2,1,15
89,165,174,2,13,31
90,166,175,2,14,8
91,171,180,1,8,21
92,172,181,1,22,42
93,175,184,1,22,20
94,176,185,1,12,33
95,177,186,1,2,32
96,182,191,1,3,12
97,183,192,2,1,15
98,185,194,2,30,48
99,189,198,2,15,32
100,190,199,1,17,44
101,191,200,1,3,7
102,195,204,2,21,8
103,198,207,2,27,41
104,200,209,1,9,49
105,201,210,1,11,1
106,202,211,1,22,41
107,203,212,2,23,35
108,204,213,1,23,44
109,206,215,1,8,6
110,212,221,1,8,1
111,213,222,2,24,17
112,214,223,1,7,1
113,216,225,2,15,1
114,217,226,1,19,15
115,219,228,2,1,26
116,220,229,1,8,8
117,227,236,2,24,24
118,230,239,2,16,33
119,232,241,2,6,32
120,233,242,1,9,42
121,234,243,2,8,10
122,241,250,1,30,12
123,243,252,1,16,28
124,244,253,2,27,22
125,246,255,1,2,48
126,247,256,2,2,9
127,249,258,2,27,45
128,250,259,1,30,27
129,254,263,1,3,17
130,255,264,1,5,15
131,256,265,1,23,26
132,258,267,2,21,3
133,259,268,2,9,38
134,260,269,2,7,11
135,263,272,2,6,12
136,264,273,1,17,29
